a,v,t,Rpred,Mpred,Vpred
1.061810178271043625e+00,6.830573522671682385e-01,4.452413703502374753e-01,6.737680430100305706e-01,7.153631633649519816e-01,4.780666992661716796e-02
1.926071459614874248e+00,1.242765365166905278e+00,3.493192507310232120e-01,9.163421765347621317e-01,9.945776447399726772e-01,2.336548146232255707e-01
1.597990912717107692e+00,5.515827816728275934e-01,2.323592099410596856e-01,7.071172784295377545e-01,8.323988409703995117e-01,2.339837314657413903e-01
1.397987726295554900e+00,1.863980603118173152e+00,1.254233401144094762e-01,9.312353353959905711e-01,4.488503677455126795e-01,5.706754882762424264e-02
7.340279606636548326e-01,8.881699724000253759e-01,2.243929286862648975e-01,6.574478628666557967e-01,3.545156949159812276e-01,1.113042663302092616e-02
7.339917805043039145e-01,1.493783426530972847e+00,2.300733288106988350e-01,7.495896135288898643e-01,3.527127433173187221e-01,9.641739630502754038e-03
5.871254182522991361e-01,9.675666141341163762e-01,3.918424713352256505e-01,6.383207089932857459e-01,4.757763348380651403e-01,4.646649163632127905e-03
1.799264218662402826e+00,1.280102031766716220e+00,3.550229885420852494e-01,9.091451663312477560e-01,9.301023492103043244e-01,1.877589777626616219e-01
1.401672517614813263e+00,1.320065419014919472e+00,4.548850970305305941e-01,8.641622544116914773e-01,8.415600425362068648e-01,8.955070949992831320e-02
1.562108866694068343e+00,7.772816832882905036e-01,2.888859700647797291e-01,7.710410013710293775e-01,8.335991166400973373e-01,1.885752558317044525e-01
5.308767414437036702e-01,1.954376941646837729e+00,1.478376983753206808e-01,7.383737670384022955e-01,2.125883030280617259e-01,2.698520976123208997e-03
1.954864778242991541e+00,1.662699235041671830e+00,3.852979148891980676e-01,9.626857653768937650e-01,9.292857192181159798e-01,1.471160605837989188e-01
1.748663961200632500e+00,1.909248412346283619e+00,4.043140194467590431e-01,9.657306597704640172e-01,8.308726668707346885e-01,8.925639734178522633e-02
8.185086660174142326e-01,1.842241025641473184e+00,3.245108790277985156e-01,8.187483306845775299e-01,4.661309316227436605e-01,1.243391029805702638e-02
7.727374508106509277e-01,1.396849968216627769e+00,4.083868719818244397e-01,7.463800972079766005e-01,5.446843502930001080e-01,1.192295313356208503e-02
7.751067647801507254e-01,1.882811352534675242e+00,2.975182385457563194e-01,8.114378009568168348e-01,4.257294616217745520e-01,1.023599249888968409e-02
9.563633644393065847e-01,6.327387530778791902e-01,3.090931317527976230e-01,6.468286707690842352e-01,5.310197339876211453e-01,3.243868059504491363e-02
1.287134647448356706e+00,7.939742936287177422e-01,2.710164073434198628e-01,7.353526164252065511e-01,6.525533278701749484e-01,9.379023569400660176e-02
1.147917527963173701e+00,5.678409333658070990e-01,1.101676506976380782e-01,6.574237575272345868e-01,4.284072843080647397e-01,6.657570227486220293e-02
9.368437102970628150e-01,9.879954961448964568e-01,1.431565707973218027e-01,7.161812335717472333e-01,3.481453888093519744e-01,2.723740405713871715e-02
1.417779342083569150e+00,1.083015934534222957e+00,1.125716742746937088e-01,8.228063421482313400e-01,5.351584052706270800e-01,1.104269046293007428e-01
7.092407909780626962e-01,9.070235476608439207e-01,3.545641645055122027e-01,6.554986192528806654e-01,4.761552345492064964e-01,9.722279662913470982e-03
9.382169728028272315e-01,1.743106263727894012e+00,2.257423924305306806e-01,8.369096642126413466e-01,4.070820914742288021e-01,2.013960740346629544e-02
1.049542764940537554e+00,1.035129990040383863e+00,3.034282764658811082e-01,7.477057006987840593e-01,5.545829415845996424e-01,4.046506595520028837e-02
1.184104976325553782e+00,9.214017645310711435e-01,4.630265895704371859e-01,7.485768349847993219e-01,7.824758012338810520e-01,6.544282259887086728e-02
1.677763942089520288e+00,1.314044124737372643e+00,1.997168916595499777e-01,9.006668293863001606e-01,7.112859831997753179e-01,1.504198296902888032e-01
7.995106732375396597e-01,7.113863374621439695e-01,2.641531692142519150e-01,6.384772262222934147e-01,4.197845252507240721e-01,1.597528575397465234e-02
1.271351657620417352e+00,1.703295471131059502e+00,4.022204554172195134e-01,8.971071839195897679e-01,6.986240360560480589e-01,5.073954255790676798e-02
1.388621853293063646e+00,6.118259655196562896e-01,1.915192661966489962e-01,7.004821578868090093e-01,6.465406633361421296e-01,1.347922008748899947e-01
5.696756190799965314e-01,1.980330404900775942e+00,1.307919639315172078e-01,7.554965783454204997e-01,2.042898868445581217e-01,3.455177133326432174e-03
1.411317277852157659e+00,1.658367153944986239e+00,2.159005811655072271e-01,9.121747242473257078e-01,5.666729107068921856e-01,6.952411243857460621e-02
7.557861855309373489e-01,7.980735223012586088e-01,1.644885149016017678e-01,6.463818896804918168e-01,3.031141013180211896e-01,1.265799664270483328e-02
5.975773894779192741e-01,5.082831756854035987e-01,4.718790609370292488e-01,5.753561769950004123e-01,5.604736666289947822e-01,5.216630600045822803e-03
1.923328305879999922e+00,1.723192142682251182e+00,4.232481518257668052e-01,9.649149288603019459e-01,9.421595490837386677e-01,1.325788805795952152e-01
1.948448049611839039e+00,1.560286015771425561e+00,3.533615026041694307e-01,9.543547646213516034e-01,9.207489213272819217e-01,1.651298731668965625e-01
1.712596022174691646e+00,1.593510752061480851e+00,4.485842360750871283e-01,9.387186455958641540e-01,9.200889349479044466e-01,1.192394528905486029e-01
9.569206537600560836e-01,1.656905520028918666e+00,4.214688307596458072e-01,8.299858683262476555e-01,6.120471643056776267e-01,2.235242942155507562e-02
6.465081710095758050e-01,6.110669776011354859e-01,1.746280235544143411e-01,5.975001460052409286e-01,2.777830677272640214e-01,7.057274318860799409e-03
1.526349539768235397e+00,1.037698592816408860e+00,4.570235993959911314e-01,8.297548402461426553e-01,9.420595743219936091e-01,1.448084733921344569e-01
