a,v,t,Rpred,Mpred,Vpred
1.061810178271043625e+00,1.357993817425389160e+00,3.881071695789582998e-01,8.087536014311011989e-01,6.295204310906561407e-01,3.634775789892161907e-02
1.926071459614874248e+00,1.708148493949979585e+00,3.749132017652511140e-01,9.640847103082387237e-01,8.982051278093053925e-01,1.353225921473704685e-01
1.597990912717107692e+00,1.640241394685238552e+00,1.383016794653430803e-01,9.322066773855829380e-01,5.593752757760580563e-01,9.652658238429846771e-02
1.397987726295554900e+00,7.308498570406605221e-01,4.690289619623200235e-01,7.353073298361435528e-01,9.191306563791625805e-01,1.305306201362551044e-01
7.340279606636548326e-01,7.238742046122108587e-01,3.273888808627278824e-01,6.297965021684460707e-01,4.590060336510632943e-01,1.144111868338792450e-02
7.339917805043039145e-01,9.022615516173699834e-01,2.454902084542737173e-01,6.597662137519459957e-01,3.754603789508578204e-01,1.109940339447823381e-02
5.871254182522991361e-01,1.041612089511555705e+00,4.026154333981226685e-01,6.482958778507116326e-01,4.862053611504205120e-01,4.600877821450873213e-03
1.799264218662402826e+00,1.112683372112723834e+00,2.029461833606536203e-01,8.810080980836010323e-01,8.190551817370474996e-01,2.235168727291652890e-01
1.401672517614813263e+00,1.519545825250018023e+00,3.774039348185281861e-01,8.937760484188566057e-01,7.406342211265158904e-01,7.652693208385252799e-02
1.562108866694068343e+00,5.850206482487531057e-01,1.158844830288988936e-01,7.137906021577370419e-01,6.867433001427557526e-01,2.113807180906359939e-01
5.308767414437036702e-01,5.520090563390995797e-01,4.357632150437088514e-01,5.727423577054491233e-01,5.057208097246891354e-01,3.253398811392379728e-03
1.954864778242991541e+00,1.087865844415863537e+00,2.792683388085274165e-01,8.934647173301425438e-01,9.863135331569549136e-01,2.900785739611977943e-01
1.748663961200632500e+00,1.545745538206970693e+00,3.546771657431767588e-01,9.372028181322510365e-01,8.492739754419117437e-01,1.316823399669459771e-01
8.185086660174142326e-01,7.901530144347238549e-01,1.884951279226734777e-01,6.562770528571716389e-01,3.503803827106544144e-01,1.723121623801924726e-02
7.727374508106509277e-01,1.462256721884377608e+00,3.708294850633792050e-01,7.558279242636544160e-01,5.060231313520560104e-01,1.168898579605696583e-02
7.751067647801507254e-01,8.897422069104492515e-01,4.088961103573106604e-01,6.658879958538498345e-01,5.534108999036292387e-01,1.370597596772174867e-02
9.563633644393065847e-01,1.829129163220274634e+00,2.892852747537595359e-01,8.518660192571452239e-01,4.732590349316264655e-01,2.049075941769107692e-02
1.287134647448356706e+00,1.843534916399924839e+00,3.470907696247177432e-01,9.147355703437912711e-01,6.366543235178001581e-01,4.718060770222914924e-02
1.147917527963173701e+00,9.459308064219897894e-01,2.825303695289594352e-01,7.475995486464678264e-01,5.830004037824538798e-01,5.791846072398020018e-02
9.368437102970628150e-01,8.449906309448607100e-01,4.576365477031382190e-01,6.881799623370369323e-01,6.662722504709424065e-01,2.842634501625126986e-02
1.417779342083569150e+00,1.116955958099346891e+00,2.991476722057276882e-01,8.297133496097426342e-01,7.176608396195253148e-01,1.078143562208194461e-01
7.092407909780626962e-01,8.607973777702231377e-01,4.367234836115275742e-01,6.480577271848810827e-01,5.587133760656953774e-01,9.799382572627843291e-03
9.382169728028272315e-01,1.508575764937555519e+00,4.205408233080994984e-01,8.046117703156614454e-01,6.099856889012437167e-01,2.243567261986081918e-02
1.049542764940537554e+00,1.739097026822428393e+00,2.642019285393426564e-01,8.611956948606266371e-01,4.821830546190596367e-01,2.853588505178177026e-02
1.184104976325553782e+00,1.509638196366825502e+00,1.920337967429900372e-01,8.566291053242963693e-01,4.717606209140567386e-01,4.718123741841487306e-02
1.677763942089520288e+00,1.736525670874024208e+00,2.624328530239083968e-01,9.485088003540328438e-01,6.957647095953585215e-01,9.811004611800523689e-02
7.995106732375396597e-01,1.095488243311211196e+00,4.304869503100881012e-01,7.059624446226752115e-01,5.808027330374291308e-01,1.468833509279725974e-02
1.271351657620417352e+00,7.344754560632913432e-01,1.910530143277569537e-01,7.178408449158408811e-01,5.681279962006992035e-01,9.211868237134659965e-02
